Prey;WT_NC;WT_S;WT_FCS;G12_NC;G12_S;G12_FCS;G13_NC;G13_S;G13_FCS;Q61_NC;Q61_S;Q61_FCS
A0A1B0GTU4;0;0;0;0;0;0;0;0;0;0;0;0
A0A1B0GUA3;0;0;0;0;0;0;0;0;0;0;0;0
A0A1C7CYX9;1;1;1;1;1;1;1;1;1;1;1;1
A0MZ66-8;0;1;0;0;0;0;0;1;1;1;1;1
A1BQX2;0;1;0;0;1;0;0;0;0;0;1;0
A1L0T0;0;0;0;0;0;0;0;0;0;0;0;0
A1L170-2;0;0;0;0;0;0;0;0;0;0;0;0
A2A2Q9;0;0;0;0;0;0;0;0;0;0;0;0
A2AEA2;0;0;0;0;0;0;0;0;0;0;0;0
A2IDA3;0;0;0;0;0;0;0;0;0;0;0;0
A3KMH1;0;0;0;0;0;0;0;0;0;0;0;0
C9J1X0;0;0;0;0;0;0;0;0;0;0;0;0
A5YKK6;1;1;1;1;1;1;1;1;1;1;1;1
A6NDU8;0;0;0;0;0;0;0;0;0;0;0;0
A6NEM2;0;0;0;0;0;0;0;1;1;0;1;1
A6NFX8;0;0;0;0;0;0;0;0;0;0;0;0
K7EIJ0;0;0;0;0;0;0;0;0;0;0;0;0
A6NGP5;1;1;1;0;1;1;0;1;0;1;1;1
E9PIZ0;0;0;0;0;0;0;0;0;0;0;0;0
A6NIW2;0;0;0;0;0;0;0;0;0;0;0;0
A6NKD9;0;0;0;0;0;0;0;0;0;0;0;0
E9PJK1;0;1;0;1;0;0;0;1;1;0;1;0
A6NN50;0;0;0;0;0;0;0;0;0;0;0;0
A6NNK5;0;0;0;0;0;0;0;0;0;0;0;0
A6PW57;1;1;1;0;1;0;0;1;1;1;1;0
A6QL63-2;0;0;0;0;0;0;0;0;0;0;0;0
A6ZKI3;0;0;0;0;0;0;0;0;0;0;0;0
A8MQ02;0;1;0;0;0;0;0;0;0;0;0;0
A8MVW0;0;0;0;0;0;0;0;0;0;0;0;0
B0QY89;0;0;1;1;0;0;0;0;0;0;0;0
Q99829;0;0;0;0;0;0;0;0;0;0;0;0
B0YIW6;0;0;0;0;0;0;0;0;0;0;0;0
B1AHF3;0;0;0;0;0;0;0;0;0;0;0;0
B1AJY5;0;0;0;0;0;0;0;0;0;0;0;0
B1AKC9;0;0;0;0;0;0;0;0;0;0;0;0
G3V1R5;0;0;0;0;0;0;0;0;0;0;0;0
B1ALU3;1;1;1;0;1;0;0;1;1;1;1;1
P07910;0;0;0;0;0;0;0;0;0;0;0;0
B4DIB3;0;0;0;0;0;0;0;0;0;0;0;0
B4DIH5;0;0;0;0;0;0;0;0;0;0;0;0
B4DKB2;0;0;0;0;0;0;0;0;0;0;0;0
B4DR12;0;0;0;0;0;0;0;0;0;0;0;0
B4DR61;0;0;0;0;0;0;0;0;0;0;0;0
B4DWR3;0;0;0;0;0;0;0;0;0;0;0;0
